id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
875891047584346815,Rental unit in Málaga · ★4.92 · 1 bedroom · 1 bed · 2 baths,42266923,Alejandro,,Centro,36.72740810762049,-4.411558980426027,Private room,41,3,24,2023-12-01,2.94,4,166,24,VFT/MA/55724
876190915890830852,Home in Málaga · 1 bedroom · 1 bed · 2 baths,217877213,Manolo,,Carretera de Cadiz,36.70207,-4.43651,Private room,89,3,0,,,2,83,0,CTC2018108293
876232499730503401,Home in Málaga · 1 bedroom · 1 bed · 2 baths,505706356,Carolina,,Bailen-Miraflores,36.73328,-4.45204,Private room,38,1,0,,,1,364,0,Exempt
876481767821022208,Rental unit in Málaga · ★4.70 · 3 bedrooms · 4 beds · 2 baths,154343892,Ibra,,Carretera de Cadiz,36.69855134389401,-4.436839073896408,Entire home/apt,129,2,23,2023-11-25,2.99,3,137,23,CTC-2019065920
876575623160649908,Rental unit in Málaga · ★4.83 · 1 bedroom · 1 bed · 1 bath,469765154,Jose,,Churriana,36.66503,-4.4998,Entire home/apt,70,1,18,2023-12-08,2.20,1,170,18,VFT/MA/61016
876628619548113225,Rental unit in Málaga · ★5.0 · 2 bedrooms · 4 beds · 1 bath,45749342,Malagasuite Showroom,,Centro,36.72237,-4.4318,Entire home/apt,166,1,3,2023-12-17,0.38,35,236,3,VFT/MA/62798
876696441561216027,Rental unit in Málaga · ★3.50 · 3 bedrooms · 4 beds · 1 bath,298633288,Holidaysforu,,Cruz De Humilladero,36.7096392,-4.443376199999999,Entire home/apt,63,1,4,2023-12-19,0.50,21,317,4,VFT/MA/63682
876750153918443183,Rental unit in Málaga · ★5.0 · 3 bedrooms · 3 beds · 2 baths,466000224,Marco,,Centro,36.7238581,-4.4173471,Entire home/apt,276,2,5,2023-09-23,0.65,4,295,5,VFT/MA/58848
876805296311841728,Rental unit in Málaga · ★4.70 · 2 bedrooms · 2 beds · 1 bath,511564007,Philippe Didier,,Centro,36.7249764,-4.424183,Entire home/apt,100,2,9,2023-12-20,1.12,1,0,9,Vit/ma/20396
876933257319166880,Rental unit in Málaga · 2 bedrooms · 3 beds · 2 baths,508668928,Amparo,,Centro,36.7257605,-4.4148501,Entire home/apt,243,3,1,2023-07-29,0.19,2,353,1,VFT/MA/34739
877189873916633807,Rental unit in Málaga · ★4.86 · 1 bedroom · 1 bed · 1 bath,89705945,Antonio.,,Centro,36.72559,-4.42123,Entire home/apt,245,2,21,2023-11-26,2.73,50,58,21,CTC-2016139526
877297635430486667,Rental unit in Málaga · ★4.67 · 2 bedrooms · 2 beds · 1 bath,23603298,HeimaHomes,,Este,36.71884,-4.35408,Entire home/apt,166,1,18,2023-12-27,2.21,1,37,18,VFT/MA/61691
877410049651170325,Rental unit in Málaga · ★5.0 · 2 bedrooms · 3 beds · 2 baths,91431043,Jose,,Centro,36.72183,-4.41425,Entire home/apt,149,2,7,2023-12-03,1.24,11,33,7,VFT/MA/24472
877440261406726179,Rental unit in Málaga · ★5.0 · 2 bedrooms · 2 beds · 1 bath,91431043,Jose,,Centro,36.71827,-4.41927,Entire home/apt,170,2,3,2023-07-31,0.39,11,43,3,VFT/MA/14890
877453556294888968,Rental unit in Málaga · 3 bedrooms · 4 beds · 2 baths,244492011,Sunset Málaga Apartments,,Centro,36.71793,-4.42768,Entire home/apt,138,4,2,2023-08-18,0.28,48,69,2,VFT/MA/46820
